id,user_id,task_id,content,category,created_at,updated_at
1,1,1,プロセス手順の標準化が可能,process,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
2,1,1,安全域の確認が必要,safety,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
3,1,1,段取り時間の削減余地あり,efficiency,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
4,1,1,熟練者のコツを形式知化する,skill,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
5,1,1,工具交換タイミング最適化,optimization,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
6,1,1,センシングデータの品質向上が必要,data,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
7,1,1,公差管理の厳格化を推奨,tolerance,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
8,1,1,切削条件の見直しを推奨,machining,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
9,1,1,検査フローの改善が効果的,quality,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
10,1,1,リアルタイム監視の導入を検討,system,2024-01-08T09:00:00Z,2024-01-08T09:00:00Z
