id,user_id,task_id,type,title,description,confidence,data,source_analysis_id,recommendation,expected_impact,is_active,created_at,updated_at
1,1,1,mastery_achievement,レベル1の習熟度を達成しました,レベル1の要求スキルを全て習得し、次のレベルへの準備が整いました。,0.637,"{""insight_level"": 1, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 23.19, ""consistency_score"": 79.28}}",1,次のレベルの課題に挑戦し、更なる成長を目指してください。,0.432,True,2024-02-06T00:00:00Z,2024-02-06T00:00:00Z
2,1,2,pattern_recognition,効果的な学習パターンを検出しました,あなたの学習パターンを分析した結果、最も効果的なアプローチが明らかになりました。,0.605,"{""insight_level"": 2, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 22.53, ""consistency_score"": 90.05}}",2,特定された効果的パターンを意識的に他のタスクにも活用してください。,0.506,True,2024-02-09T00:00:00Z,2024-02-09T00:00:00Z
3,1,3,pattern_recognition,効果的な学習パターンを検出しました,あなたの学習パターンを分析した結果、最も効果的なアプローチが明らかになりました。,0.706,"{""insight_level"": 3, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 6.45, ""consistency_score"": 79.06}}",3,特定された効果的パターンを意識的に他のタスクにも活用してください。,0.603,False,2024-02-12T00:00:00Z,2024-02-12T00:00:00Z
4,1,4,skill_gap_identified,更なる成長のための課題を特定しました,現在のレベル4から次の段階に進むために、特定のスキル領域での強化が推奨されます。,0.685,"{""insight_level"": 4, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 17.66, ""consistency_score"": 73.13}}",4,推奨される学習リソースを参照し、弱点領域の強化に取り組んでください。,0.534,False,2024-02-15T00:00:00Z,2024-02-15T00:00:00Z
5,1,5,skill_gap_identified,更なる成長のための課題を特定しました,現在のレベル5から次の段階に進むために、特定のスキル領域での強化が推奨されます。,0.666,"{""insight_level"": 5, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 20.21, ""consistency_score"": 89.43}}",5,推奨される学習リソースを参照し、弱点領域の強化に取り組んでください。,0.562,False,2024-02-18T00:00:00Z,2024-02-18T00:00:00Z
6,1,6,efficiency_improvement,作業効率が12%改善されました,タスク完了時間が短縮され、品質を維持しながら効率が大幅に向上しました。,0.687,"{""insight_level"": 6, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 18.18, ""consistency_score"": 75.06}}",6,習得した効率化手法を他のタスクにも適用してみてください。,0.63,False,2024-02-21T00:00:00Z,2024-02-21T00:00:00Z
7,1,7,learning_acceleration,理解度の学習速度が向上しています,最近の理解度関連タスクにおいて、理解度と実行速度が顕著に向上しています。継続的な取り組みが成果を生んでいます。,0.703,"{""insight_level"": 7, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 22.98, ""consistency_score"": 91.75}}",7,このペースを維持するため、定期的な復習と実践を継続してください。,0.632,True,2024-02-24T00:00:00Z,2024-02-24T00:00:00Z
8,1,8,mastery_achievement,レベル8の習熟度を達成しました,レベル8の要求スキルを全て習得し、次のレベルへの準備が整いました。,0.8,"{""insight_level"": 8, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 7.35, ""consistency_score"": 80.71}}",8,次のレベルの課題に挑戦し、更なる成長を目指してください。,0.773,False,2024-02-27T00:00:00Z,2024-02-27T00:00:00Z
9,1,9,efficiency_improvement,作業効率が18%改善されました,タスク完了時間が短縮され、品質を維持しながら効率が大幅に向上しました。,0.766,"{""insight_level"": 9, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 7.34, ""consistency_score"": 90.79}}",9,習得した効率化手法を他のタスクにも適用してみてください。,0.633,True,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
10,1,10,learning_acceleration,理解度の学習速度が向上しています,最近の理解度関連タスクにおいて、理解度と実行速度が顕著に向上しています。継続的な取り組みが成果を生んでいます。,0.798,"{""insight_level"": 10, ""coefficient"": ""理解度"", ""metrics"": {""improvement_rate"": 5.3, ""consistency_score"": 93.96}}",10,このペースを維持するため、定期的な復習と実践を継続してください。,0.773,False,2024-03-04T00:00:00Z,2024-03-04T00:00:00Z
