id,user_id,task_id,analysis_type,result,time_spent_minutes,difficulty_score,efficiency_score,error_count,confidence,score,status,created_at,updated_at
1,1,1,理解度_analysis_初心者,"{""ability_type"": ""理解度"", ""learning_stage"": ""初心者"", ""level"": 1, ""memory_level"": 1, ""task_status"": ""start"", ""analysis_summary"": ""理解度のレベル1における初心者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積""], ""recommendations"": [""次のレベル2への準備を進める""]}",58,0.4,3.03,12,0.55,1.98,start,2024-01-01T00:00:00Z,2024-01-01T06:00:00Z
2,1,2,理解度_analysis_初心者,"{""ability_type"": ""理解度"", ""learning_stage"": ""初心者"", ""level"": 2, ""memory_level"": 1, ""task_status"": ""start"", ""analysis_summary"": ""理解度のレベル2における初心者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現"", ""継続的な学習姿勢""], ""improvement_areas"": [""より高度な技術への挑戦""], ""recommendations"": [""次のレベル3への準備を進める""]}",77,0.8,3.07,11,0.55,2.16,start,2024-01-04T00:00:00Z,2024-01-04T06:00:00Z
3,1,3,理解度_analysis_初心者,"{""ability_type"": ""理解度"", ""learning_stage"": ""初心者"", ""level"": 3, ""memory_level"": 1, ""task_status"": ""start"", ""analysis_summary"": ""理解度のレベル3における初心者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積""], ""recommendations"": [""次のレベル4への準備を進める"", ""実践的な経験を積む"", ""関連知識の拡充""]}",108,1.2,5.41,5,0.57,3.73,start,2024-01-07T00:00:00Z,2024-01-07T07:00:00Z
4,1,4,理解度_analysis_初心者,"{""ability_type"": ""理解度"", ""learning_stage"": ""初心者"", ""level"": 4, ""memory_level"": 1, ""task_status"": ""start"", ""analysis_summary"": ""理解度のレベル4における初心者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積"", ""知識の体系化""], ""recommendations"": [""次のレベル5への準備を進める""]}",127,1.6,3.07,5,0.6,2.48,start,2024-01-10T00:00:00Z,2024-01-10T04:00:00Z
5,1,5,理解度_analysis_中級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""中級者"", ""level"": 5, ""memory_level"": 1, ""task_status"": ""progress"", ""analysis_summary"": ""理解度のレベル5における中級者段階の分析"", ""strengths"": [""理解度における基本的な理解""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積"", ""知識の体系化""], ""recommendations"": [""次のレベル6への準備を進める"", ""実践的な経験を積む""]}",121,2.25,6.46,5,0.61,4.78,progress,2024-01-13T00:00:00Z,2024-01-13T01:00:00Z
6,1,6,理解度_analysis_中級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""中級者"", ""level"": 6, ""memory_level"": 1, ""task_status"": ""progress"", ""analysis_summary"": ""理解度のレベル6における中級者段階の分析"", ""strengths"": [""理解度における基本的な理解""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積"", ""知識の体系化""], ""recommendations"": [""次のレベル7への準備を進める""]}",145,2.7,5.22,4,0.68,4.21,progress,2024-01-16T00:00:00Z,2024-01-16T04:00:00Z
7,1,7,理解度_analysis_中級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""中級者"", ""level"": 7, ""memory_level"": 1, ""task_status"": ""progress"", ""analysis_summary"": ""理解度のレベル7における中級者段階の分析"", ""strengths"": [""理解度における基本的な理解""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積"", ""知識の体系化""], ""recommendations"": [""次のレベル8への準備を進める""]}",139,3.15,7.33,8,0.62,5.66,progress,2024-01-19T00:00:00Z,2024-01-19T05:00:00Z
8,1,8,理解度_analysis_中級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""中級者"", ""level"": 8, ""memory_level"": 1, ""task_status"": ""progress"", ""analysis_summary"": ""理解度のレベル8における中級者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積""], ""recommendations"": [""次のレベル9への準備を進める"", ""実践的な経験を積む"", ""関連知識の拡充""]}",175,3.6,5.88,3,0.63,4.97,progress,2024-01-22T00:00:00Z,2024-01-22T05:00:00Z
9,1,9,理解度_analysis_上級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""上級者"", ""level"": 9, ""memory_level"": 1, ""task_status"": ""review"", ""analysis_summary"": ""理解度のレベル9における上級者段階の分析"", ""strengths"": [""理解度における基本的な理解""], ""improvement_areas"": [""より高度な技術への挑戦""], ""recommendations"": [""次のレベル10への準備を進める"", ""実践的な経験を積む""]}",174,4.5,8.16,5,0.84,6.7,review,2024-01-25T00:00:00Z,2024-01-25T01:00:00Z
10,1,10,理解度_analysis_上級者,"{""ability_type"": ""理解度"", ""learning_stage"": ""上級者"", ""level"": 10, ""memory_level"": 1, ""task_status"": ""review"", ""analysis_summary"": ""理解度のレベル10における上級者段階の分析"", ""strengths"": [""理解度における基本的な理解"", ""段階的な成長の実現"", ""継続的な学習姿勢""], ""improvement_areas"": [""より高度な技術への挑戦"", ""実践経験の蓄積""], ""recommendations"": [""次のレベル11への準備を進める""]}",175,5.0,8.41,4,0.76,7.05,review,2024-01-28T00:00:00Z,2024-01-28T02:00:00Z
