id,user_id,book_id,title,notes,date,created_at,updated_at
1,3,97,NC加工-初心者-97-69,理解度レベル69: 専門知識の統合的理解を達成した,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z
2,11,21,NC加工-マスター-21-91,実践力レベル91: 最高難度の作業をマスターした,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z
3,18,82,NC加工-上級者-82-45,理解度レベル45: 理論と実践の関連性を把握した,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z
4,8,97,NC加工-エキスパート-97-42,創造力レベル42: 革新的なソリューションを開発した,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z
5,3,43,NC加工-上級者-43-21,創造力レベル21: 新しい手法を提案した,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z,2024-01-11T00:00:00Z
6,2,33,NC加工-エキスパート-33-47,創造力レベル47: 革新的なソリューションを開発した,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z
7,3,93,NC加工-上級者-93-96,実践力レベル96: 最高難度の作業をマスターした,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z
8,12,46,NC加工-マスター-46-78,分析力レベル78: 独自の分析フレームを構築した,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z
9,6,23,NC加工-マスター-23-26,分析力レベル26: 多角的なデータ分析を実施した,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z
10,2,7,NC加工-中級者-7-69,創造力レベル69: 標準的手法の創出に成功した,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z,2024-01-11T12:00:00Z
11,8,52,NC加工-初心者-52-81,創造力レベル81: パラダイムシフトとなる発想を実現した,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z
12,1,42,NC加工-エキスパート-42-19,実践力レベル19: 基本作業の手順を確認した,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z
13,16,52,NC加工-マスター-52-43,実践力レベル43: 高度な作業技術を習得した,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z
14,4,60,NC加工-マスター-60-83,実践力レベル83: 最高難度の作業をマスターした,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z
15,14,70,NC加工-マスター-70-90,実践力レベル90: 最高難度の作業をマスターした,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z,2024-01-11T19:00:00Z
16,9,57,NC加工-上級者-57-21,創造力レベル21: 新しい手法を提案した,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z
17,12,79,NC加工-マスター-79-31,分析力レベル31: 多角的なデータ分析を実施した,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z
18,4,86,NC加工-中級者-86-99,創造力レベル99: パラダイムシフトとなる発想を実現した,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z
19,10,72,NC加工-マスター-72-45,分析力レベル45: 問題の構造化分析を完了した,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z
20,3,72,NC加工-上級者-72-93,分析力レベル93: 業界トップレベルの分析を達成した,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z,2024-01-12T01:00:00Z
21,11,49,NC加工-マスター-49-71,創造力レベル71: 標準的手法の創出に成功した,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z
22,13,9,NC加工-エキスパート-9-28,実践力レベル28: 標準作業の効率化を実現した,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z
23,4,33,NC加工-中級者-33-48,実践力レベル48: 高度な作業技術を習得した,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z
24,6,8,NC加工-上級者-8-57,実践力レベル57: 高度な作業技術を習得した,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z
25,20,68,NC加工-中級者-68-26,理解度レベル26: 概念の体系的な整理ができた,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z,2024-01-12T05:00:00Z
26,16,67,NC加工-中級者-67-35,理解度レベル35: 概念の体系的な整理ができた,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
27,10,71,NC加工-マスター-71-8,実践力レベル8: 基本作業の手順を確認した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
28,8,26,NC加工-エキスパート-26-1,分析力レベル1: 基本的な分析手法を実践した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
29,4,67,NC加工-初心者-67-100,分析力レベル100: 業界トップレベルの分析を達成した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
30,14,91,NC加工-中級者-91-56,分析力レベル56: 問題の構造化分析を完了した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
31,6,14,材料特性-エキスパート-14-26,理解度レベル26: 概念の体系的な整理ができた,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
32,2,82,材料特性-上級者-82-38,分析力レベル38: 多角的なデータ分析を実施した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
33,6,6,材料特性-上級者-6-84,創造力レベル84: パラダイムシフトとなる発想を実現した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
34,8,53,材料特性-中級者-53-79,応用力レベル79: 独自の応用手法を開発した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
35,8,33,材料特性-エキスパート-33-56,実践力レベル56: 高度な作業技術を習得した,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z,2024-01-12T09:00:00Z
36,18,84,材料特性-上級者-84-85,応用力レベル85: 革新的なアプローチを確立した,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z
37,14,13,材料特性-エキスパート-13-8,応用力レベル8: 基本的な応用事例を学習した,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z
38,15,7,材料特性-中級者-7-87,理解度レベル87: 最新技術動向の把握を完了した,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z
39,17,50,材料特性-中級者-50-54,応用力レベル54: 複雑な問題への応用を実践した,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z
40,16,38,材料特性-上級者-38-14,実践力レベル14: 基本作業の手順を確認した,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z,2024-01-12T15:00:00Z
41,2,23,材料特性-初心者-23-37,理解度レベル37: 概念の体系的な整理ができた,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z
42,7,12,材料特性-マスター-12-7,実践力レベル7: 基本作業の手順を確認した,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z
43,2,7,材料特性-エキスパート-7-26,理解度レベル26: 概念の体系的な整理ができた,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z
44,3,8,材料特性-上級者-8-89,応用力レベル89: 革新的なアプローチを確立した,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z
45,7,69,材料特性-エキスパート-69-34,応用力レベル34: 多様な状況への適用方法を習得した,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z,2024-01-13T01:00:00Z
46,8,94,材料特性-マスター-94-52,理解度レベル52: 理論と実践の関連性を把握した,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z
47,3,11,材料特性-初心者-11-85,応用力レベル85: 革新的なアプローチを確立した,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z
48,15,95,材料特性-初心者-95-37,創造力レベル37: 新しい手法を提案した,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z
49,5,15,材料特性-中級者-15-92,実践力レベル92: 最高難度の作業をマスターした,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z
50,3,78,材料特性-中級者-78-99,実践力レベル99: 最高難度の作業をマスターした,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z,2024-01-13T03:00:00Z
51,10,71,材料特性-初心者-71-30,応用力レベル30: 多様な状況への適用方法を習得した,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z
52,20,64,材料特性-上級者-64-78,応用力レベル78: 独自の応用手法を開発した,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z
53,3,76,材料特性-マスター-76-23,理解度レベル23: 概念の体系的な整理ができた,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z
54,3,20,材料特性-上級者-20-80,応用力レベル80: 独自の応用手法を開発した,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z
55,14,66,材料特性-中級者-66-80,実践力レベル80: 困難な課題を独力で解決した,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z,2024-01-13T07:00:00Z
56,5,50,材料特性-エキスパート-50-31,応用力レベル31: 多様な状況への適用方法を習得した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
57,14,46,材料特性-中級者-46-10,理解度レベル10: 基礎理論の理解を深めた,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
58,14,99,材料特性-上級者-99-98,理解度レベル98: 最新技術動向の把握を完了した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
59,2,13,材料特性-初心者-13-78,応用力レベル78: 独自の応用手法を開発した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
60,15,12,材料特性-上級者-12-2,理解度レベル2: 基礎理論の理解を深めた,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
61,2,39,高精度加工-初心者-39-42,分析力レベル42: 問題の構造化分析を完了した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
62,3,79,高精度加工-マスター-79-86,実践力レベル86: 最高難度の作業をマスターした,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
63,19,96,高精度加工-マスター-96-62,実践力レベル62: 困難な課題を独力で解決した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
64,14,86,高精度加工-中級者-86-32,応用力レベル32: 多様な状況への適用方法を習得した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
65,16,16,高精度加工-マスター-16-27,実践力レベル27: 標準作業の効率化を実現した,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z,2024-01-13T18:00:00Z
66,13,44,高精度加工-マスター-44-82,創造力レベル82: パラダイムシフトとなる発想を実現した,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z
67,5,69,高精度加工-上級者-69-85,理解度レベル85: 最新技術動向の把握を完了した,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z
68,8,16,高精度加工-マスター-16-58,分析力レベル58: 問題の構造化分析を完了した,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z
69,16,88,高精度加工-上級者-88-42,分析力レベル42: 問題の構造化分析を完了した,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z
70,4,77,高精度加工-マスター-77-71,応用力レベル71: 独自の応用手法を開発した,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z,2024-01-13T20:00:00Z
