id,user_id,memory_id,title,description,date,status,priority,created_at,updated_at
1,1,1,1-初心者-理解度-1 - 基礎原理の学習を開始,【NC加工】レベル1｜理解度：NC加工の基本的な仕組みと機械の構造を学習開始。座標系の概念を理解する段階。,2024-01-01T00:00:00Z,start,3,2024-01-01T00:00:00Z,2024-01-01T12:00:00Z
2,1,1,1-初心者-理解度-2 - 基本概念の理解を深化,【NC加工】レベル2｜理解度：工具補正の基本原理を理解。G-code の基礎コマンドを読めるようになる。,2024-01-04T00:00:00Z,start,3,2024-01-04T00:00:00Z,2024-01-04T12:00:00Z
3,1,1,1-初心者-理解度-3 - 基礎知識の体系化完了,【NC加工】レベル3｜理解度：切削条件と材料特性の関係を理解。送り速度と表面粗さの相関を把握。,2024-01-07T00:00:00Z,start,3,2024-01-07T00:00:00Z,2024-01-07T12:00:00Z
4,1,1,1-初心者-理解度-4 - 基本理論の完全習得,【NC加工】レベル4｜理解度：工具経路の生成ロジックを理解。最適な切削順序の考え方を習得。,2024-01-10T00:00:00Z,start,3,2024-01-10T00:00:00Z,2024-01-10T12:00:00Z
5,1,1,1-中級者-理解度-5 - 応用理論の学習を開始,【NC加工】レベル5｜理解度：複雑形状の加工戦略を理解。荒加工と仕上げ加工の使い分けを体系的に把握。,2024-01-13T00:00:00Z,progress,2,2024-01-13T00:00:00Z,2024-01-13T12:00:00Z
6,1,1,1-中級者-理解度-6 - 複雑な概念の理解に着手,【NC加工】レベル6｜理解度：熱変位が寸法精度に与える影響を理論的に理解。補正方法の原理を習得。,2024-01-16T00:00:00Z,progress,2,2024-01-16T00:00:00Z,2024-01-16T12:00:00Z
7,1,1,1-中級者-理解度-7 - 理論と実践の統合を推進,【NC加工】レベル7｜理解度：多軸加工における座標変換を完全理解。工具姿勢制御の理論を習得。,2024-01-19T00:00:00Z,progress,2,2024-01-19T00:00:00Z,2024-01-19T12:00:00Z
8,1,1,1-中級者-理解度-8 - 高度な理論の習得完了,【NC加工】レベル8｜理解度：切削力学の高度な理論を理解。びびり振動のメカニズムを数式で説明可能。,2024-01-22T00:00:00Z,progress,2,2024-01-22T00:00:00Z,2024-01-22T12:00:00Z
9,1,1,1-上級者-理解度-9 - 専門知識の深化を開始,【NC加工】レベル9｜理解度：材料の微視的構造と切削特性の関係を理解。結晶構造レベルでの知識を習得。,2024-01-25T00:00:00Z,review,2,2024-01-25T00:00:00Z,2024-01-25T12:00:00Z
10,1,1,1-上級者-理解度-10 - 理論の実践的応用を習得,【NC加工】レベル10｜理解度：最新の適応制御技術の原理を理解。AIによる加工最適化の理論基盤を習得。,2024-01-28T00:00:00Z,review,2,2024-01-28T00:00:00Z,2024-01-28T12:00:00Z
11,1,1,1-上級者-理解度-11 - 専門分野の体系的理解,【NC加工】レベル11｜理解度：ナノレベル加工の物理現象を理解。原子レベルでの材料除去メカニズムを把握。,2024-01-31T00:00:00Z,review,2,2024-01-31T00:00:00Z,2024-01-31T12:00:00Z
12,1,1,1-上級者-理解度-12 - 理論と実務の完全統合,【NC加工】レベル12｜理解度：複合加工プロセスの統合理論を理解。工程間の相互作用を体系的に把握。,2024-02-03T00:00:00Z,review,2,2024-02-03T00:00:00Z,2024-02-03T12:00:00Z
13,1,1,1-エキスパート-理解度-13 - 最先端理論の研究を開始,【NC加工】レベル13｜理解度：先端加工技術の研究論文を完全理解。国際標準規格の背景理論を習得。,2024-02-06T00:00:00Z,advanced,1,2024-02-06T00:00:00Z,2024-02-06T12:00:00Z
14,1,1,1-エキスパート-理解度-14 - 独自理論の構築に着手,【NC加工】レベル14｜理解度：加工システム全体の最適化理論を構築。経済性と品質のトレードオフを定量化。,2024-02-09T00:00:00Z,advanced,1,2024-02-09T00:00:00Z,2024-02-09T12:00:00Z
15,1,1,1-エキスパート-理解度-15 - 理論的革新の実現,【NC加工】レベル15｜理解度：未知の材料に対する加工理論を構築可能。第一原理からの予測モデルを開発。,2024-02-12T00:00:00Z,advanced,1,2024-02-12T00:00:00Z,2024-02-12T12:00:00Z
16,1,1,1-エキスパート-理解度-16 - 新理論の確立と検証,【NC加工】レベル16｜理解度：業界の技術動向を先読みし理論的裏付けを提供。次世代技術の理論基盤を確立。,2024-02-15T00:00:00Z,advanced,1,2024-02-15T00:00:00Z,2024-02-15T12:00:00Z
17,1,1,1-マスター-理解度-17 - 革新的理論の提唱,【NC加工】レベル17｜理解度：革新的な加工理論を提唱。学術界でも認められる独自理論を構築。,2024-02-18T00:00:00Z,complete,1,2024-02-18T00:00:00Z,2024-02-18T12:00:00Z
18,1,1,1-マスター-理解度-18 - 学術的貢献の達成,【NC加工】レベル18｜理解度：加工科学の新分野を開拓。教科書に載るレベルの理論的貢献を達成。,2024-02-21T00:00:00Z,complete,1,2024-02-21T00:00:00Z,2024-02-21T12:00:00Z
19,1,1,1-マスター-理解度-19 - 理論分野のリーダー確立,【NC加工】レベル19｜理解度：加工技術のパラダイムシフトを理論面からリード。ノーベル賞級の発見に貢献。,2024-02-24T00:00:00Z,complete,1,2024-02-24T00:00:00Z,2024-02-24T12:00:00Z
20,1,1,1-マスター-理解度-20 - 理論史に残る業績の達成,【NC加工】レベル20｜理解度：加工科学の歴史に名を刻む理論的業績を達成。世界中の研究者が参照する理論を確立。,2024-02-27T00:00:00Z,complete,1,2024-02-27T00:00:00Z,2024-02-27T12:00:00Z
21,2,2,2-初心者-応用力-1 - 基本技術の適用を開始,【NC加工】レベル1｜応用力：標準的な加工条件を資料から選択して適用開始。基本的な工具選定ができる。,2024-01-03T00:00:00Z,start,3,2024-01-03T00:00:00Z,2024-01-03T12:00:00Z
22,2,2,2-初心者-応用力-2 - 標準手法の応用を習得,【NC加工】レベル2｜応用力：異なる材料に対して加工条件を調整可能。経験則に基づいた条件設定ができる。,2024-01-06T00:00:00Z,start,3,2024-01-06T00:00:00Z,2024-01-06T12:00:00Z
23,2,2,2-初心者-応用力-3 - 多様な状況への対応力向上,【NC加工】レベル3｜応用力：複数の制約条件を考慮した加工戦略を立案。生産性と品質のバランスを取れる。,2024-01-09T00:00:00Z,start,3,2024-01-09T00:00:00Z,2024-01-09T12:00:00Z
24,2,2,2-初心者-応用力-4 - 応用技術の基礎を確立,【NC加工】レベル4｜応用力：トラブル発生時に適切な対処方法を選択可能。過去事例を応用して解決できる。,2024-01-12T00:00:00Z,start,3,2024-01-12T00:00:00Z,2024-01-12T12:00:00Z
25,2,2,2-中級者-応用力-5 - 複雑な問題への応用を開始,【NC加工】レベル5｜応用力：新規形状に対して独自の加工手順を設計。創意工夫で効率的な方法を考案。,2024-01-15T00:00:00Z,progress,2,2024-01-15T00:00:00Z,2024-01-15T12:00:00Z
26,2,2,2-中級者-応用力-6 - 独自手法の開発に着手,【NC加工】レベル6｜応用力：難削材加工において試行錯誤で最適条件を発見。データを蓄積し知見を構築。,2024-01-18T00:00:00Z,progress,2,2024-01-18T00:00:00Z,2024-01-18T12:00:00Z
27,2,2,2-中級者-応用力-7 - 革新的アプローチの実践,【NC加工】レベル7｜応用力：複雑な5軸加工プログラムを独力で作成可能。干渉回避の戦略を自在に立案。,2024-01-21T00:00:00Z,progress,2,2024-01-21T00:00:00Z,2024-01-21T12:00:00Z
28,2,2,2-中級者-応用力-8 - 高度な応用力の確立,【NC加工】レベル8｜応用力：加工不良の根本原因を特定し恒久対策を実施。システマティックな問題解決が可能。,2024-01-24T00:00:00Z,progress,2,2024-01-24T00:00:00Z,2024-01-24T12:00:00Z
29,2,2,2-上級者-応用力-9 - システム全体への応用を開始,【NC加工】レベル9｜応用力：生産ライン全体の最適化提案を実施。ボトルネック解消と工程改善を主導。,2024-01-27T00:00:00Z,review,2,2024-01-27T00:00:00Z,2024-01-27T12:00:00Z
30,2,2,2-上級者-応用力-10 - 統合的ソリューションの提供,【NC加工】レベル10｜応用力：新製品の加工プロセスを一から設計。技術的実現可能性を多角的に評価。,2024-01-30T00:00:00Z,review,2,2024-01-30T00:00:00Z,2024-01-30T12:00:00Z
31,2,2,2-上級者-応用力-11 - 戦略的技術応用の実践,【NC加工】レベル11｜応用力：未経験の加工技術を短期間で習得し実用化。技術移転を効果的に実施。,2024-02-02T00:00:00Z,review,2,2024-02-02T00:00:00Z,2024-02-02T12:00:00Z
32,2,2,2-上級者-応用力-12 - 応用技術のマスター達成,【NC加工】レベル12｜応用力：顧客要求を技術仕様に落とし込み実現。ソリューション提案型の対応が可能。,2024-02-05T00:00:00Z,review,2,2024-02-05T00:00:00Z,2024-02-05T12:00:00Z
33,2,2,2-エキスパート-応用力-13 - 業界をリードする応用を開始,【NC加工】レベル13｜応用力：業界初の加工手法を開発し実用化に成功。特許取得レベルの技術革新を達成。,2024-02-08T00:00:00Z,advanced,1,2024-02-08T00:00:00Z,2024-02-08T12:00:00Z
34,2,2,2-エキスパート-応用力-14 - 革新的技術の実用化,【NC加工】レベル14｜応用力：複数の先端技術を統合した加工システムを構築。産学連携プロジェクトをリード。,2024-02-11T00:00:00Z,advanced,1,2024-02-11T00:00:00Z,2024-02-11T12:00:00Z
35,2,2,2-エキスパート-応用力-15 - 新市場創出への貢献,【NC加工】レベル15｜応用力：新材料の加工技術を世界で初めて確立。国際会議で技術発表し高評価を獲得。,2024-02-14T00:00:00Z,advanced,1,2024-02-14T00:00:00Z,2024-02-14T12:00:00Z
36,2,2,2-エキスパート-応用力-16 - 応用分野のパイオニア確立,【NC加工】レベル16｜応用力：技術コンサルタントとして業界全体に貢献。複数企業の技術顧問を務める。,2024-02-17T00:00:00Z,advanced,1,2024-02-17T00:00:00Z,2024-02-17T12:00:00Z
37,2,2,2-マスター-応用力-17 - 産業構造の変革をリード,【NC加工】レベル17｜応用力：国家プロジェクトレベルの技術開発を主導。産業競争力強化に直接貢献。,2024-02-20T00:00:00Z,complete,1,2024-02-20T00:00:00Z,2024-02-20T12:00:00Z
38,2,2,2-マスター-応用力-18 - グローバル標準の確立,【NC加工】レベル18｜応用力：グローバルスタンダードとなる技術を確立。世界中の企業が採用する手法を開発。,2024-02-23T00:00:00Z,complete,1,2024-02-23T00:00:00Z,2024-02-23T12:00:00Z
